,city,lat,lng,max temp,humidity,cloudiness,wind speed,country id,date
282,Yuxia,34.0615,108.6291,30.81,71,85,4.23,CN,1643404836
283,Ilhabela,-23.7781,-45.3581,75.27,91,100,9.42,BR,1643404836
284,Port Blair,11.6667,92.75,80.64,83,40,4.61,IN,1643404836
285,Touros,-5.1989,-35.4608,76.1,73,70,6.53,BR,1643404836
286,Alice Springs,-23.7,133.8833,72.95,100,100,11.5,AU,1643404741
287,Laas,46.6166,10.7002,37.31,76,46,8.3,IT,1643404837
288,Wellsford,-36.2833,174.5167,73.56,56,12,7.83,NZ,1643404837
289,Codrington,-38.2667,141.9667,62.73,79,93,11.18,AU,1643404713
290,Fujin,47.26,132.0322,-3.75,88,85,9.4,CN,1643404838
291,Davila,18.4726,120.5763,76.98,86,65,2.68,PH,1643404838
292,Caravelas,-17.7125,-39.2481,79.11,77,0,9.01,BR,1643404838
293,Tripoli,32.8752,13.1875,54.05,52,0,9.48,LY,1643404838
294,Ancud,-41.8697,-73.8203,80.13,60,0,9.53,CL,1643404839
295,Maple Creek,49.9168,-109.4848,48.61,42,99,16.11,CA,1643404560
296,Huarmey,-10.0681,-78.1522,73.2,77,100,9.04,PE,1643404839
297,Cartagena,10.3997,-75.5144,85.62,66,20,20.71,CO,1643404840
298,Vila Velha,-20.3297,-40.2925,82.35,82,20,8.01,BR,1643404749
299,Sayyan,15.1718,44.3244,51.96,21,18,3.89,YE,1643404840
300,Noceto,44.8114,10.1713,39.99,100,100,6.91,IT,1643404840
301,Owando,-0.4819,15.8999,79.21,33,3,1.41,CG,1643404901
302,Tucupita,9.0622,-62.051,84.65,49,50,3.44,VE,1643404901
303,Aksu,41.1231,80.2644,21.47,53,5,0.92,CN,1643404901
304,Namatanai,-3.6667,152.4333,80.28,81,91,3.09,PG,1643404752
305,Luena,-11.7833,19.9167,62.28,96,100,4.05,AO,1643404902
306,Linxia Chengguanzhen,35.6003,103.2064,8.94,88,70,3.76,CN,1643404902
307,Itarema,-2.9248,-39.9167,72.7,88,100,8.97,BR,1643404902
308,Sisimiut,66.9395,-53.6735,18.91,66,100,19.84,GL,1643404903
309,Dingcheng,32.1272,115.0394,31.33,92,100,6.33,CN,1643404903
310,Energetik,51.7445,58.7934,10.36,90,100,6.69,RU,1643404903
311,San Quintín,30.4833,-115.95,67.33,32,96,7.87,MX,1643404904
312,Qaqortoq,60.7167,-46.0333,19.9,92,100,6.4,GL,1643404904
313,Ampanihy,-24.7,44.75,69.01,86,0,6.26,MG,1643404904
314,Iqaluit,63.7506,-68.5145,-15.07,76,100,14.97,CA,1643404905
315,Nome,64.5011,-165.4064,-11.13,64,0,0.0,US,1643404889
316,Robertsport,6.7533,-11.3686,81.63,78,65,9.51,LR,1643404905
317,Tautira,-17.7333,-149.15,84.22,75,24,16.75,PF,1643404905
318,Bhan,26.5583,67.7214,60.85,30,0,5.46,PK,1643404906
319,Abu Kamal,34.4506,40.9171,47.77,72,85,6.35,SY,1643404743
320,Batagay,67.6333,134.6333,-42.03,99,64,1.32,RU,1643404906
321,Landerneau,48.4525,-4.2525,49.23,100,100,5.75,FR,1643404907
322,West Mifflin,40.3634,-79.8664,30.61,84,100,1.99,US,1643404907
323,Pingshan,22.9938,114.7131,63.9,83,91,1.5,CN,1643404907
324,Ormara,25.2088,64.6357,68.94,60,0,9.42,PK,1643404907
325,Härnösand,62.6323,17.9379,32.0,74,100,5.57,SE,1643404908
326,Uribia,11.7139,-72.266,88.11,44,7,13.15,CO,1643404908
327,San Jose,37.3394,-121.895,70.11,39,40,3.0,US,1643404883
328,Hamilton,39.1834,-84.5333,26.11,89,100,14.97,US,1643404908
329,Yining,29.0361,114.5636,34.63,100,100,2.21,CN,1643404908
330,Santa Fe,-31.6333,-60.7,85.01,38,0,1.99,AR,1643404633
331,Avera,33.194,-82.5271,52.38,44,100,9.55,US,1643404909
332,Airai,-8.9266,125.4092,59.92,92,100,3.15,TL,1643404909
333,Pisco,-13.7,-76.2167,77.05,61,0,19.57,PE,1643404910
334,Ranong,9.9658,98.6348,73.83,88,49,2.15,TH,1643404910
335,Horta,38.5333,-28.6333,55.04,67,40,5.75,PT,1643404910
336,Ambāgarh Chauki,20.7833,80.7167,53.11,43,5,3.31,IN,1643404911
337,Borogontsy,62.6683,131.1683,-34.65,100,100,0.6,RU,1643404911
338,Wanning,18.8003,110.3967,66.6,91,99,7.67,CN,1643404911
339,Tonota,-21.4833,27.4833,71.37,85,100,10.0,BW,1643404911
340,Porto Walter,-8.2686,-72.7439,81.52,73,100,2.35,BR,1643404912
341,Half Moon Bay,37.4636,-122.4286,69.55,47,0,8.05,US,1643404912
342,Shama,33.6102,104.2852,14.72,95,45,3.4,CN,1643404912
343,Manaure,11.7751,-72.4445,83.41,61,13,12.21,CO,1643404913
344,Hellvik,59.9156,5.781,42.76,89,100,21.99,NO,1643404913
345,Bagotville,-28.9833,153.4167,71.62,97,72,2.55,AU,1643404913
346,Darhan,49.4867,105.9228,-15.52,99,66,1.81,MN,1643404914
347,Korhogo,9.45,-5.6333,77.85,16,28,3.4,CI,1643404914
348,Severodvinsk,64.5635,39.8302,14.11,100,90,4.81,RU,1643404914
349,Carmo do Rio Claro,-20.9719,-46.1189,73.62,84,100,1.97,BR,1643404915
350,Jimeta,9.2833,12.4667,75.42,20,7,5.32,NG,1643404915
351,Kilrush,52.6397,-9.4833,53.89,92,100,18.92,IE,1643404975
352,Mount Isa,-20.7333,139.5,76.77,94,100,9.22,AU,1643404976
